measure,location,sex,age,metric,year,val,upper,lower
Population,Canada,Both,<5 years,Number,1998,1864730.0453686442,2013917.2247336025,1719589.3050853182
Population,Canada,Male,<5 years,Number,1999,932935.3407550936,1009260.3959778574,861018.5853335058
Population,Canada,Female,<5 years,Number,1999,887784.8148494804,960416.0273882555,819348.5571503626
Population,Canada,Both,<5 years,Number,1999,1820720.1556045741,1969676.4233661129,1680367.1424838684
Population,Canada,Male,<5 years,Number,2000,911291.7091671295,974374.8983774917,846113.0637567643
Population,Canada,Female,<5 years,Number,2000,867720.0485041515,927787.036331178,805657.7946857701
Population,Canada,Both,<5 years,Number,2000,1779011.757671281,1902161.9347086698,1651770.8584425342
Population,Canada,Male,<5 years,Number,2001,893861.568974333,951493.6042141111,834267.390856765
Population,Canada,Female,<5 years,Number,2001,851024.3963863582,905894.4900393696,794286.1930437096
Population,Canada,Both,<5 years,Number,2001,1744885.965360691,1857388.0942534807,1628553.5839004747
Population,Canada,Male,<5 years,Number,2002,882439.2533627765,946419.7247759793,815568.0035624495
Population,Canada,Female,<5 years,Number,2002,840817.5947420151,901780.3249006128,777100.4343819827
Population,Canada,Both,<5 years,Number,2002,1723256.8481047917,1848200.049676592,1592668.4379444323
Population,Canada,Male,<5 years,Number,2003,876935.9480711417,946058.1054156849,806280.0861855834
Population,Canada,Female,<5 years,Number,2003,835608.3772156216,901472.9980643393,768282.331087823
Population,Canada,Both,<5 years,Number,2003,1712544.3252867635,1847531.1034800243,1574562.4172734064
Population,Canada,Male,<5 years,Number,2004,876787.8530587504,948773.6925572342,806466.5719204987
Population,Canada,Female,<5 years,Number,2004,835446.9784108055,904038.6586987664,768441.3719348768
Population,Canada,Both,<5 years,Number,2004,1712234.8314695559,1852812.3512560006,1574907.9438553755
Population,Canada,Male,<5 years,Number,2005,880761.4881245778,947656.5211113793,814960.7302578003
Population,Canada,Female,<5 years,Number,2005,839277.0512519854,903021.2848334451,776575.5517232462
Population,Canada,Both,<5 years,Number,2005,1720038.5393765632,1850677.8059448241,1591536.2819810465
Population,Canada,Male,<5 years,Number,2006,891179.2750351455,950971.2526395269,831610.5195698449
Population,Canada,Female,<5 years,Number,2006,849483.6383425526,906478.1265470311,792701.9283749305
Population,Canada,Both,<5 years,Number,2006,1740662.913377698,1857449.379186558,1624312.4479447757
Population,Canada,Male,<5 years,Number,2007,908083.5833838567,972292.7265868626,839785.8350515754
Population,Canada,Female,<5 years,Number,2007,865413.0234084808,926604.9993086689,800324.5646391008
Population,Canada,Both,<5 years,Number,2007,1773496.6067923375,1898897.7258955315,1640110.3996906762
Population,Canada,Male,<5 years,Number,2008,929027.2005130146,1006090.076132939,853567.9974061192
Population,Canada,Female,<5 years,Number,2008,884998.3361538288,958409.0141890915,813115.32868083
Population,Canada,Both,<5 years,Number,2008,1814025.5366668433,1964499.0903220302,1666683.326086949
Population,Canada,Male,<5 years,Number,2009,949326.3636673408,1027138.7015487336,876681.7710033999
Population,Canada,Female,<5 years,Number,2009,904012.197281593,978110.3212102622,834835.1467454004
Population,Canada,Both,<5 years,Number,2009,1853338.5609489337,2005249.0227589959,1711516.9177488002
Population,Canada,Male,<5 years,Number,2010,967818.5760403984,1035705.4577878338,892964.8164449095
Population,Canada,Female,<5 years,Number,2010,921409.8382700894,986041.4151793489,850145.4585296569
Population,Canada,Both,<5 years,Number,2010,1889228.414310488,2021746.8729671827,1743110.2749745667
Population,Canada,Male,<5 years,Number,2011,982060.752219316,1048134.6960204125,914136.9437880936
Population,Canada,Female,<5 years,Number,2011,934589.9157531175,997469.9783469972,869949.4072551358
Population,Canada,Both,<5 years,Number,2011,1916650.6679724334,2045604.6743674097,1784086.3510432295
Population,Canada,Male,<5 years,Number,2012,990732.2435943292,1066602.5058253943,920343.8508575788
Population,Canada,Female,<5 years,Number,2012,942445.2734097979,1014617.7200969247,875487.5171980944
Population,Canada,Both,<5 years,Number,2012,1933177.5170041271,2081220.2259223189,1795831.3680556733
Population,Canada,Male,<5 years,Number,2013,994278.5138797039,1076708.6395512982,913518.0819946022
Population,Canada,Female,<5 years,Number,2013,945253.6290404586,1023619.3729901087,868475.2512955853
Population,Canada,Both,<5 years,Number,2013,1939532.1429201625,2100328.0125414073,1781993.3332901874
Population,Canada,Male,<5 years,Number,2014,995880.278771026,1075326.2678693717,917004.945019583
Population,Canada,Female,<5 years,Number,2014,946584.1196819945,1022097.525516004,871613.121706344
Population,Canada,Both,<5 years,Number,2014,1942464.3984530205,2097423.7933853758,1788618.066725927
Population,Canada,Male,<5 years,Number,2015,997728.9319510288,1065908.819500393,926763.9437490397
Population,Canada,Female,<5 years,Number,2015,948100.5033089375,1012889.0281587628,880665.4125974245
Population,Canada,Both,<5 years,Number,2015,1945829.4352599662,2078797.8476591557,1807429.3563464643
Population,Canada,Male,<5 years,Number,2016,999490.4775268892,1065026.8150056433,932332.7407774021
Population,Canada,Female,<5 years,Number,2016,949766.4426108194,1012042.3877133217,885949.7618514588
Population,Canada,Both,<5 years,Number,2016,1949256.9201377085,2077069.202718965,1818282.5026288608
Population,Canada,Male,<5 years,Number,2017,999132.1492420352,1071341.5985969831,924648.1885128849
Population,Canada,Female,<5 years,Number,2017,949536.0320242146,1018161.0623239261,878749.3952676468
Population,Canada,Both,<5 years,Number,2017,1948668.1812662499,2089502.6609209094,1803397.5837805318
Population,Canada,Male,<5 years,Number,2018,996475.8511896367,1071786.5488248013,912435.8473870772
Population,Canada,Female,<5 years,Number,2018,947518.2866000825,1019128.9163014818,867607.2277281584
Population,Canada,Both,<5 years,Number,2018,1943994.1377897193,2090915.465126283,1780043.0751152353
Population,Canada,Male,<5 years,Number,2019,991433.6000723313,1069102.7687084964,911030.283547441
Population,Canada,Female,<5 years,Number,2019,942898.4590110772,1016765.3719484323,866431.2470412912
Population,Canada,Both,<5 years,Number,2019,1934332.0590834084,2085868.1406569285,1777461.530588732
Population,Canada,Male,<5 years,Number,2020,982956.8648643879,1055855.9539462554,910365.5026972495
Population,Canada,Female,<5 years,Number,2020,935024.7809484869,1004369.0800083663,865973.2030662316
Population,Canada,Both,<5 years,Number,2020,1917981.645812875,2060225.0339546218,1776338.705763481
Population,Canada,Male,<5 years,Number,2021,973783.9240893383,1043930.4535292486,910932.2781355724
Population,Canada,Female,<5 years,Number,2021,926305.631739622,993032.0621722698,866518.4118329841
Population,Canada,Both,<5 years,Number,2021,1900089.5558289604,2036962.5157015184,1777450.6899685566
Population,Canada,Male,5-14 years,Number,1990,1962715.893238666,2118224.683658738,1814341.1406126427
Population,Canada,Female,5-14 years,Number,1990,1863928.90231301,2011610.6579997265,1723022.1155763736
Population,Canada,Both,5-14 years,Number,1990,3826644.7955516763,4129835.3416584646,3537363.256189017
Population,Canada,Male,5-14 years,Number,1991,1984030.2081214597,2113419.2381536122,1847636.1471512164
Population,Canada,Female,5-14 years,Number,1991,1884018.2380366928,2006884.962235042,1754499.595943469
Population,Canada,Both,5-14 years,Number,1991,3868048.4461581525,4120304.200388654,3602135.7430946855
Population,Canada,Male,5-14 years,Number,1992,2003213.4576219309,2145861.8915226394,1858662.1287830137
Population,Canada,Female,5-14 years,Number,1992,1902159.3390088705,2037611.7291207747,1764900.0474087128
Population,Canada,Both,5-14 years,Number,1992,3905372.796630801,4183473.6206434146,3623562.1761917262
Population,Canada,Male,5-14 years,Number,1993,2022628.3072174164,2192682.939487454,1851270.3988740698
Population,Canada,Female,5-14 years,Number,1993,1921095.12811053,2082613.250051598,1758339.1527753999
Population,Canada,Both,5-14 years,Number,1993,3943723.4353279467,4275296.189539053,3609609.55164947
Population,Canada,Male,5-14 years,Number,1994,2044268.6197225638,2203407.521011453,1882896.3276708813
Population,Canada,Female,5-14 years,Number,1994,1941645.1525685233,2092795.188963734,1788373.8429186472
Population,Canada,Both,5-14 years,Number,1994,3985913.772291087,4296202.709975187,3671270.170589529
Population,Canada,Male,5-14 years,Number,1995,2067155.7898559642,2211397.3139345185,1907197.689376924
Population,Canada,Female,5-14 years,Number,1995,1963883.0213253393,2100918.4017732255,1811916.246882989
Population,Canada,Both,5-14 years,Number,1995,4031038.8111813036,4312315.7157077445,3719113.9362599133
Population,Canada,Male,5-14 years,Number,1996,2087879.6950488647,2219831.5556029934,1957367.3110076135
Population,Canada,Female,5-14 years,Number,1996,1983479.1963712175,2108833.0522242314,1859492.8387144492
Population,Canada,Both,5-14 years,Number,1996,4071358.891420082,4328664.607827225,3816860.149722063
Population,Canada,Male,5-14 years,Number,1997,2104331.751695499,2267817.670104471,1949799.1692380826
Population,Canada,Female,5-14 years,Number,1997,1999895.9548628312,2155268.237127595,1853032.6637956852
Population,Canada,Both,5-14 years,Number,1997,4104227.70655833,4423085.907232066,3802831.8330337675
Population,Canada,Male,5-14 years,Number,1998,2114593.188552378,2283770.5952703115,1950004.420571275
Population,Canada,Female,5-14 years,Number,1998,2010357.8303298508,2171195.91784073,1853882.1922324488
Population,Canada,Both,5-14 years,Number,1998,4124951.0188822285,4454966.513111041,3803886.612803724
Population,Canada,Male,5-14 years,Number,1999,2119315.603513945,2292700.48176472,1955944.9011073804
Population,Canada,Female,5-14 years,Number,1999,2015262.0360464929,2180134.1118166037,1859912.462903017
Population,Canada,Both,5-14 years,Number,1999,4134577.6395604378,4472834.593581324,3815857.3640103973
Population,Canada,Male,5-14 years,Number,2000,2120238.1423102547,2267009.349111452,1968591.5853702454
Population,Canada,Female,5-14 years,Number,2000,2016986.785574485,2156610.528168922,1872725.1126415634
Population,Canada,Both,5-14 years,Number,2000,4137224.92788474,4423619.877280373,3841316.6980118086
Population,Canada,Male,5-14 years,Number,2001,2117591.6325891716,2254124.0888764183,1976410.7861214175
Population,Canada,Female,5-14 years,Number,2001,2015672.5747264733,2145633.7643453395,1881286.720569233
Population,Canada,Both,5-14 years,Number,2001,4133264.2073156447,4399757.853221758,3857697.5066906507
Population,Canada,Male,5-14 years,Number,2002,2113418.1602222323,2266649.65991919,1953263.3244233902
Population,Canada,Female,5-14 years,Number,2002,2010864.2165824983,2156660.134017732,1858480.919002301
Population,Canada,Both,5-14 years,Number,2002,4124282.3768047304,4423309.793936922,3811744.243425691
Population,Canada,Male,5-14 years,Number,2003,2106054.4075494115,2272058.5774719673,1936366.8839958548
Population,Canada,Female,5-14 years,Number,2003,2003507.6450355977,2161428.8375534243,1842082.4465753664
Population,Canada,Both,5-14 years,Number,2003,4109562.052585009,4433487.415025391,3778449.3305712207
Population,Canada,Male,5-14 years,Number,2004,2089714.337012815,2261283.5944302133,1922112.3465437859
Population,Canada,Female,5-14 years,Number,2004,1988123.3837407148,2151351.843516778,1828669.323197069
Population,Canada,Both,5-14 years,Number,2004,4077837.7207535296,4412635.437946992,3750781.6697408548
Population,Canada,Male,5-14 years,Number,2005,2065240.0167256906,2222097.805022841,1910948.122598134
Population,Canada,Female,5-14 years,Number,2005,1964704.5770058425,2113926.561913448,1817923.5790916542
Population,Canada,Both,5-14 years,Number,2005,4029944.5937315333,4336024.366936289,3728871.7016897886
Population,Canada,Male,5-14 years,Number,2006,2037825.2766088804,2174549.2856987854,1901611.7009750267
Population,Canada,Female,5-14 years,Number,2006,1938945.705821277,2069035.5782703478,1809341.4995228227
Population,Canada,Both,5-14 years,Number,2006,3976770.9824301573,4243584.863969133,3710953.2004978494
Population,Canada,Male,5-14 years,Number,2007,2012446.445911032,2154743.3273857185,1861088.6156297573
Population,Canada,Female,5-14 years,Number,2007,1914378.6970385592,2049741.3642556942,1770396.6266042443
Population,Canada,Both,5-14 years,Number,2007,3926825.142949591,4204484.691641414,3631485.2422340014
Population,Canada,Male,5-14 years,Number,2008,1990372.582915599,2155474.137218673,1828706.7792559352
Population,Canada,Female,5-14 years,Number,2008,1894102.7367606754,2051218.700140158,1740256.3444918324
Population,Canada,Both,5-14 years,Number,2008,3884475.3196762744,4206692.8373588305,3568963.123747767
Population,Canada,Male,5-14 years,Number,2009,1974019.8005203826,2135822.002146036,1822963.3569119046
Population,Canada,Female,5-14 years,Number,2009,1879552.9700921536,2033612.118107172,1735725.341229957
Population,Canada,Both,5-14 years,Number,2009,3853572.770612536,4169434.120253208,3558688.6981418617
Population,Canada,Male,5-14 years,Number,2010,1960960.3603178808,2098510.4005712424,1809294.2743164573
Population,Canada,Female,5-14 years,Number,2010,1868115.2158729637,1999152.7056361886,1723630.0295710708
Population,Canada,Both,5-14 years,Number,2010,3829075.576190844,4097663.106207431,3532924.3038875284
Population,Canada,Male,5-14 years,Number,2011,1956545.0208885623,2088183.1557619493,1821221.4282436362
Population,Canada,Female,5-14 years,Number,2011,1863376.68198701,1988746.3659781974,1734497.0373250397
Population,Canada,Both,5-14 years,Number,2011,3819921.7028755723,4076929.521740147,3555718.4655686757
Population,Canada,Male,5-14 years,Number,2012,1964755.6819164609,2115216.6462898124,1825166.0042162917
Population,Canada,Female,5-14 years,Number,2012,1871924.2404775159,2015276.1742820144,1738929.943114033
Population,Canada,Both,5-14 years,Number,2012,3836679.9223939767,4130492.8205718263,3564095.9473303244
Population,Canada,Male,5-14 years,Number,2013,1984844.7297819692,2149397.21505706,1823625.3980108574
Population,Canada,Female,5-14 years,Number,2013,1889857.0471978765,2046534.6297134699,1736353.1051914727
Population,Canada,Both,5-14 years,Number,2013,3874701.7769798455,4195931.84477053,3559978.50320233
Population,Canada,Male,5-14 years,Number,2014,2011201.595594432,2171644.475571281,1851911.1663375048
Population,Canada,Female,5-14 years,Number,2014,1913329.6388596876,2065964.8188815005,1761790.8273593509
Population,Canada,Both,5-14 years,Number,2014,3924531.2344541196,4237609.294452782,3613701.9936968554
Population,Canada,Male,5-14 years,Number,2015,2037133.7596058755,2176341.460420308,1892239.521715418
Population,Canada,Female,5-14 years,Number,2015,1936632.3081377125,2068972.2341084827,1798886.3888830333
Population,Canada,Both,5-14 years,Number,2015,3973766.067743588,4245313.694528791,3691125.9105984513
Population,Canada,Male,5-14 years,Number,2016,2065196.974425888,2200611.417003643,1926432.3159695999
Population,Canada,Female,5-14 years,Number,2016,1962062.0772664275,2090713.9907575578,1830227.2559910382
Population,Canada,Both,5-14 years,Number,2016,4027259.0516923154,4291325.4077612,3756659.571960638
Population,Canada,Male,5-14 years,Number,2017,2095667.9753320552,2247126.449212939,1939438.7404962156
Population,Canada,Female,5-14 years,Number,2017,1988818.996075818,2132555.2622766825,1840555.2092349299
Population,Canada,Both,5-14 years,Number,2017,4084486.9714078736,4379681.711489621,3779993.9497311455
Population,Canada,Male,5-14 years,Number,2018,2126342.798028719,2287045.497787948,1947012.9561479131
Population,Canada,Female,5-14 years,Number,2018,2015365.988157394,2167681.3888538745,1845395.621985355
Population,Canada,Both,5-14 years,Number,2018,4141708.786186113,4454726.886641822,3792408.5781332683
Population,Canada,Male,5-14 years,Number,2019,2152410.326755838,2321030.7170984955,1977854.079336983
Population,Canada,Female,5-14 years,Number,2019,2038439.4146512456,2198131.2938044257,1873125.9842197383
Population,Canada,Both,5-14 years,Number,2019,4190849.7414070833,4519162.010902921,3850980.063556721
Population,Canada,Male,5-14 years,Number,2020,2176665.367883724,2338093.5324620986,2015918.6355655016
Population,Canada,Female,5-14 years,Number,2020,2060449.2182747424,2213258.4375606743,1908285.0483328453
Population,Canada,Both,5-14 years,Number,2020,4237114.5861584665,4551351.970022773,3924203.683898347
Population,Canada,Male,5-14 years,Number,2021,2194792.568326215,2352894.4610562352,2053132.4710152016
